id,revenue
3001,2896081.7176778447
3002,998017.0860963203
3003,4370479.511125587
3004,1739246.176953291
3005,694853.5666724533
3006,2144441.8034144035
3007,3307440.6391309965
3008,44905621.360086426
3009,29900539.778622955
3010,328603442.42955804
3011,270529.2246723381
3012,172828.7974257364
3013,40600401.2809456
3014,290608.0729387187
3015,35047569.19190955
3016,72280.35696159383
3017,161540150.32293984
3018,133743518.10578991
3019,16215883.466261467
3020,492817348.7821702
3021,47309349.866860054
3022,61078015.9913343
3023,252646.48947937228
3024,17183580.721358042
3025,500649.0305167693
3026,81467704.28781244
3027,2378609.701074089
3028,69370050.27683231
3029,466240.3840805009
3030,31015971.123887233
3031,2415505.381178814
3032,4922232.595036226
3033,6195.459449853936
3034,182515.0539744591
3035,317397.87212686526
3036,6176878.499719625
3037,68574410.81357288
3038,11260084.043449877
3039,10033456.78243711
3040,546930.0491565997
3041,13446399.911627274
3042,1383589.7020506314
3043,8404739.445059981
3044,2945636.1163679897
3045,642549034.3674594
3046,163239.85380998743
3047,3062070.353909271
3048,19352376.77495938
3049,17931349.680203985
3050,56194896.75222394
3051,9378.489266601942
3052,19429011.41276649
3053,39585.316369936976
3054,600978.5177611073
3055,66303611.00411891
3056,63659.92439079302
3057,55697310.23949978
3058,216157549.13625833
3059,189242.68599232752
3060,78161234.46778026
3061,57979879.60544731
3062,1848215.4237394002
3063,23427355.584812142
3064,67234617.14059444
3065,38755288.62755974
3066,104226222.51424289
3067,841401.4084438616
3068,85996523.43358415
3069,138854723.77484587
3070,1022656.7927098722
3071,2290877.654413762
3072,397440371.8132213
3073,1150937.715501879
3074,226302.28728012764
3075,23700568.000735443
3076,230010148.90281516
3077,4956149.6781671895
3078,133199370.96625121
3079,40826465.16861402
3080,155567214.4218549
3081,9439933.655666701
3082,9793605.404655438
3083,5172228.70841619
3084,1446.4052880325178
3085,24013502.460753568
3086,78203765.09368967
3087,105344.08949109144
3088,260045.8689240523
3089,11697.991547498394
3090,39592665.625150226
3091,20606541.258995138
3092,3342621.570783985
3093,126033856.93342482
3094,78722294.25359975
3095,43976715.17475277
3096,1808939.9673038397
3097,782203466.0016778
3098,23325630.579304133
3099,55673606.720338695
3100,1818687.5167593746
3101,8346624.53839344
3102,650813.1912736191
3103,2173432.1848254977
3104,453740.6642253775
3105,98696320.4787294
3106,53234719.49901073
3107,38566419.434655964
3108,8565774.114133034
3109,9890661.520522483
3110,267564706.3374986
3111,3047622.992403846
3112,338191.0606713228
3113,4578991.712896274
3114,15597311.342492897
3115,18750233.44568387
3116,7921320.166879129
3117,136652.22849568227
3118,730010.2423573335
3119,163394402.4251378
3120,59711356.18848654
3121,240645.06094843886
3122,3633428.5600382397
3123,5424734.571666269
3124,655558.9159933892
3125,24331.734706031282
3126,43930421.5706438
3127,6993484.681513794
3128,33852760.62814787
3129,262095777.76076952
3130,9585339.598213036
3131,1144837.8881599286
3132,6279904.239933362
3133,885023.4046699945
3134,12207643.596188528
3135,892600.330288695
3136,4213804.0213651825
3137,110622753.08097753
3138,925055.2189726086
3139,29416546.718681835
3140,73033552.26175883
3141,12230068.19613071
3142,36473.80605719401
3143,122443417.788806
3144,12121010.996219063
3145,3733993.4159544534
3146,623638.1987896101
3147,19878743.70885725
3148,773050.6737497944
3149,66858964.53697042
3150,109240201.42221503
3151,3987445.4055534853
3152,10292320.705696167
3153,1159839.883801172
3154,5744728.527386657
3155,19940035.14404393
3156,6406106.777927162
3157,11364195.234769365
3158,167824482.6046806
3159,4654024.956344577
3160,15900929.671951314
3161,523272.028748373
3162,791278.5873178237
3163,88867116.7661061
3164,1766493.8070633882
3165,130555.3707533933
3166,801387.7117525733
3167,78634396.52897982
3168,515276.28940422
3169,11950234.836522898
3170,5370586.466357602
3171,12338597.166978177
3172,21502980.49480647
3173,470282.8639362434
3174,322843.0774087501
3175,2692807.036543601
3176,17228596.796656128
3177,99449261.77093224
3178,609746.7690926765
3179,6240438.0300610475
3180,2033027.9268278107
3181,231850.6472861817
3182,201292264.00615156
3183,21546272.28481827
3184,41516841.35373719
3185,77505633.09629512
3186,68818146.08032027
3187,1003485.8092237569
3188,14380679.136228599
3189,63701167.9763254
3190,22845802.82383162
3191,6291325.9000712605
3192,419225.8335207325
3193,343229217.11913574
3194,31954349.918238003
3195,98869.38238135376
3196,1232853.3139549238
3197,4119859.2301934524
3198,189157433.3097927
3199,240451121.23087502
3200,11953780.554818746
3201,387453.18279886234
3202,2791258.6174085704
3203,894817.0307787034
3204,1700784.3236593658
3205,257925.90107408236
3206,19478802.776678085
3207,18089776.344044965
3208,2451811.518501858
3209,4106786.05091522
3210,624165466.8403482
3211,1213143.3635474548
3212,38591666.35907796
3213,35281805.98763723
3214,4399294.771141207
